claim_id,participant,claim,source_ids,confidence
F001,Метод Лаб,"Аудит скорости включает сервер/хостинг, кеширование, Nginx и в комплексном тарифе MySQL/PostgreSQL.",S01,high
F002,Метод Лаб,"В отчете по аудиту скорости заявлены индивидуальные рекомендации, включая конкретные настройки и код, когда это возможно.",S01,high
F003,Метод Лаб,"Технический аудит охватывает инфраструктуру, клиентскую часть, серверный код, архитектуру, нагрузку и отказоустойчивость.",S02,high
F004,Метод Лаб,"Профессиональное ускорение и MySQL-направление подтверждают практику поиска узкого места в коде и SQL.",S03;S04,high
F005,Перфоманс Лаб,"Системный анализ использует мониторинг разных архитектурных уровней, APM и профилировщики.",S05,high
F006,Перфоманс Лаб,"Результатом системного анализа является отчет с узкими местами и рекомендациями.",S05,high
F007,Логема,"Технический аудит ориентирован на сложные и высоконагруженные веб-проекты, включая крупные интернет-магазины и маркетплейсы.",S07,high
F008,Логема,"Типовой срок аудита на странице услуги составляет 10 рабочих дней; отчет включает проблемы, приоритеты и варианты решения.",S07,high
F009,Тест-сервис,"Аудит производительности 1С-Битрикс дает воспроизводимые замеры, список причин и план исправлений.",S08,high
F010,Тест-сервис,"На дату среза указаны цена от 35 000 ₽ и срок 3–7 рабочих дней.",S08,high
F011,ScaleHost,"Аудит проверяет серверную конфигурацию, ресурсы, веб-сервер, PHP, кеш, БД и фоновые процессы.",S09,high
F012,ScaleHost,"Аудит можно заказать отдельно без дальнейших работ; результатом является отчет с приоритетами и рекомендациями.",S09,high
F013,ИНТЕРВОЛГА,"Аудит 1С-Битрикс включает код, интеграции и нагрузочную проверку; на странице указана цена от 87 500 ₽ и срок от 10 рабочих дней.",S10,high
F014,SimbirSoft,"В кейсе iConText Group аудит охватывал backend, frontend, DevOps, БД, инфраструктуру, безопасность и QA.",S11,high
F015,SimbirSoft,"Результатом кейса стали отчет по аудиту и чек-лист улучшений.",S11,high
F016,Webdoka,"Технический аудит охватывает код и архитектуру, скорость и сервер, тяжелые SQL-запросы, PHP-FPM и веб-сервер.",S14,high
F017,Webdoka,"Типовой технический аудит заявлен как 3–5 рабочих дней, результат включает P1–P3.",S14,high
F018,ITSumma,"Текущий раздел аудитов обещает отчет по проблемам и рекомендации по устранению для надежности, отказоустойчивости и производительности.",S15,high
F019,ITSumma,"Исторический материал по 1С-Битрикс описывает анализ сервера, кода и профилирование страниц.",S16,high
F020,Cetera Labs,"Аудит включает сервер, БД, медленные SQL-запросы, логи и основные пользовательские сценарии.",S17,high
F021,Cetera Labs,"Аудит описан как нулевая задача перед поддержкой; трудоемкость 8–24 человеко-часа.",S17,high
F022,ALL,"Порядок 95–91–89–88–86–85–84–83–82–76 был опубликован 17 сентября до выпуска IndexResearch.",S19;S20,high
