criterion_id,max_score,anchor_score,anchor_description
C1,25,0,Инженерная диагностика производительности публично не подтверждена.
C1,25,12,Подтверждено несколько технических уровней.
C1,25,20,"Подтверждены код/приложение, БД и серверная часть."
C1,25,25,"Почти полный веб-стек: приложение, БД, сервер/инфраструктура и измерения."
C2,20,0,Аудит публично привязан к обязательному продолжению работ.
C2,20,10,Аудит отделим от внедрения не полностью.
C2,20,16,Отчет можно использовать отдельно, но продолжение у подрядчика активно встроено в предложение.
C2,20,20,Аудит явно самостоятельный и рассчитан на передачу команде клиента.
C3,15,0,Результат описан общими словами.
C3,15,8,Есть отчет и рекомендации без сильной детализации.
C3,15,12,Есть конкретные проблемы и приоритеты.
C3,15,15,"Результат прямо переводится в задачи: причина, доказательство, приоритет и действие."
C4,15,0,Веб-специализация не подтверждена.
C4,15,8,Компания работает с вебом как с одним из многих типов систем.
C4,15,12,Веб-проекты составляют значимую практику.
C4,15,15,Сайты и веб-приложения являются основной или очень сильной специализацией.
C5,10,0,Методика не раскрыта.
C5,10,5,Есть базовые методы диагностики.
C5,10,8,Есть несколько инструментальных методов и воспроизводимые измерения.
C5,10,10,"Публично описаны системный анализ, APM/профилирование/мониторинг или сопоставимо глубокий инструментарий."
C6,10,0,Публичных доказательств почти нет.
C6,10,5,Есть отдельные технические материалы.
C6,10,8,Есть подробные кейсы или примеры аудита.
C6,10,10,Есть сильный корпус кейсов и измеримых технических доказательств.
C7,5,0,Состав и условия услуги неясны.
C7,5,3,Часть существенных условий раскрыта.
C7,5,5,"Понятны состав и существенные условия: цена, срок, формат результата или сопоставимый набор."
